filename,width,height,class,xmin,ymin,xmax,ymax
04_missing_hole_08,3056,2464,Missing_hole,1343,1430,1401,1502
04_missing_hole_08,3056,2464,Missing_hole,1741,1428,1805,1504
04_missing_hole_09,3056,2464,Missing_hole,2487,1245,2580,1343
04_missing_hole_09,3056,2464,Missing_hole,1174,1307,1229,1380
04_missing_hole_09,3056,2464,Missing_hole,714,1403,767,1480
04_missing_hole_10,3056,2464,Missing_hole,1122,844,1166,904
04_missing_hole_10,3056,2464,Missing_hole,1287,375,1340,439
04_missing_hole_10,3056,2464,Missing_hole,662,504,715,566
04_missing_hole_11,3056,2464,Missing_hole,1283,953,1349,1028
04_missing_hole_11,3056,2464,Missing_hole,1399,82,1461,136
04_missing_hole_11,3056,2464,Missing_hole,1391,251,1463,306
04_missing_hole_12,3056,2464,Missing_hole,1650,749,1721,825
04_missing_hole_12,3056,2464,Missing_hole,326,801,401,863
04_missing_hole_12,3056,2464,Missing_hole,177,1143,250,1212
04_missing_hole_13,3056,2464,Missing_hole,710,1921,772,1985
04_missing_hole_13,3056,2464,Missing_hole,658,1409,712,1472
04_missing_hole_13,3056,2464,Missing_hole,177,453,255,524
04_missing_hole_14,3056,2464,Missing_hole,1120,1923,1172,1987
04_missing_hole_14,3056,2464,Missing_hole,890,1404,943,1475
04_missing_hole_14,3056,2464,Missing_hole,336,1141,393,1208
04_missing_hole_15,3056,2464,Missing_hole,1285,1540,1347,1596
04_missing_hole_15,3056,2464,Missing_hole,1687,1653,1748,1715
04_missing_hole_15,3056,2464,Missing_hole,656,956,714,1038
04_missing_hole_16,3056,2464,Missing_hole,1176,761,1229,815
04_missing_hole_16,3056,2464,Missing_hole,1230,1537,1288,1599
04_missing_hole_16,3056,2464,Missing_hole,829,502,886,566
04_missing_hole_17,3056,2464,Missing_hole,1348,1303,1401,1372
04_missing_hole_17,3056,2464,Missing_hole,651,1410,715,1468
04_missing_hole_17,3056,2464,Missing_hole,1514,1654,1575,1714
04_missing_hole_18,3056,2464,Missing_hole,1341,1430,1400,1501
04_missing_hole_18,3056,2464,Missing_hole,882,956,944,1027
04_missing_hole_18,3056,2464,Missing_hole,1283,1776,1344,1844
04_missing_hole_19,3056,2464,Missing_hole,1287,1535,1340,1601
04_missing_hole_19,3056,2464,Missing_hole,1517,1647,1571,1715
04_missing_hole_19,3056,2464,Missing_hole,2110,1590,2173,1649
04_missing_hole_20,3056,2464,Missing_hole,1635,1430,1688,1502
04_missing_hole_20,3056,2464,Missing_hole,1053,1410,1106,1471
04_missing_hole_20,3056,2464,Missing_hole,2109,1471,2176,1537
05_missing_hole_01,2544,2156,Missing_hole,1103,566,1174,622
05_missing_hole_01,2544,2156,Missing_hole,1520,965,1569,1026
05_missing_hole_01,2544,2156,Missing_hole,1336,1659,1386,1714
05_missing_hole_02,2544,2156,Missing_hole,1931,546,1993,612
05_missing_hole_02,2544,2156,Missing_hole,1835,1091,1885,1148
05_missing_hole_02,2544,2156,Missing_hole,1057,370,1114,428
05_missing_hole_03,2544,2156,Missing_hole,1117,243,1178,309
05_missing_hole_03,2544,2156,Missing_hole,2050,820,2089,873
05_missing_hole_03,2544,2156,Missing_hole,1102,1023,1175,1079
05_missing_hole_03,2544,2156,Missing_hole,220,736,286,797
05_missing_hole_03,2544,2156,Missing_hole,1449,1317,1513,1376
05_missing_hole_04,2544,2156,Missing_hole,1101,623,1170,684
05_missing_hole_04,2544,2156,Missing_hole,375,1017,445,1087
05_missing_hole_04,2544,2156,Missing_hole,908,1767,977,1829
05_missing_hole_04,2544,2156,Missing_hole,1834,1095,1884,1149
05_missing_hole_04,2544,2156,Missing_hole,1449,796,1519,857
05_missing_hole_05,2544,2156,Missing_hole,1830,1269,1894,1323
05_missing_hole_05,2544,2156,Missing_hole,1450,1137,1511,1193
05_missing_hole_05,2544,2156,Missing_hole,1488,1787,1539,1856
05_missing_hole_05,2544,2156,Missing_hole,2030,1881,2093,1945
05_missing_hole_05,2544,2156,Missing_hole,2188,1584,2246,1644
05_missing_hole_06,2544,2156,Missing_hole,1670,1071,1724,1124
05_missing_hole_06,2544,2156,Missing_hole,1103,1478,1163,1543
05_missing_hole_06,2544,2156,Missing_hole,218,1020,280,1084
05_missing_hole_06,2544,2156,Missing_hole,1560,146,1624,206
05_missing_hole_06,2544,2156,Missing_hole,2274,1691,2325,1742
05_missing_hole_07,2544,2156,Missing_hole,1109,620,1162,677
05_missing_hole_07,2544,2156,Missing_hole,1373,352,1443,415
05_missing_hole_07,2544,2156,Missing_hole,1852,314,1917,386
05_missing_hole_07,2544,2156,Missing_hole,2027,186,2102,258
05_missing_hole_07,2544,2156,Missing_hole,1035,1249,1090,1315
05_missing_hole_08,2544,2156,Missing_hole,1722,1073,1777,1122
05_missing_hole_08,2544,2156,Missing_hole,1980,813,2040,872
05_missing_hole_08,2544,2156,Missing_hole,1538,1465,1602,1515
05_missing_hole_08,2544,2156,Missing_hole,2060,1265,2119,1323
05_missing_hole_08,2544,2156,Missing_hole,1651,797,1709,848
05_missing_hole_09,2544,2156,Missing_hole,1602,1792,1658,1849
05_missing_hole_09,2544,2156,Missing_hole,2302,1584,2364,1644
05_missing_hole_09,2544,2156,Missing_hole,1085,1803,1144,1860
05_missing_hole_09,2544,2156,Missing_hole,1308,1955,1379,2026
05_missing_hole_09,2544,2156,Missing_hole,223,1763,287,1834
05_missing_hole_10,2544,2156,Missing_hole,1904,1414,1963,1477
05_missing_hole_10,2544,2156,Missing_hole,1452,1428,1513,1481
05_missing_hole_10,2544,2156,Missing_hole,1103,1366,1168,1431
05_missing_hole_10,2544,2156,Missing_hole,366,217,440,281
05_missing_hole_10,2544,2156,Missing_hole,216,623,286,681
06_missing_hole_01,2868,2316,Missing_hole,1442,854,1493,901
06_missing_hole_01,2868,2316,Missing_hole,1331,1150,1382,1212
06_missing_hole_01,2868,2316,Missing_hole,1786,1373,1836,1426
06_missing_hole_01,2868,2316,Missing_hole,1062,1414,1127,1469
06_missing_hole_01,2868,2316,Missing_hole,583,1228,634,1274
06_missing_hole_02,2868,2316,Missing_hole,1614,973,1673,1036
06_missing_hole_02,2868,2316,Missing_hole,2103,1658,2180,1730
06_missing_hole_02,2868,2316,Missing_hole,2428,1317,2489,1380
06_missing_hole_02,2868,2316,Missing_hole,238,1674,318,1739
06_missing_hole_02,2868,2316,Missing_hole,1154,1814,1212,1871
06_missing_hole_03,2868,2316,Missing_hole,1528,394,1588,446
06_missing_hole_03,2868,2316,Missing_hole,709,767,798,840
06_missing_hole_03,2868,2316,Missing_hole,1093,976,1155,1044
06_missing_hole_03,2868,2316,Missing_hole,242,897,305,959
06_missing_hole_03,2868,2316,Missing_hole,603,202,652,246
06_missing_hole_04,2868,2316,Missing_hole,920,542,966,592
06_missing_hole_04,2868,2316,Missing_hole,725,923,788,976
06_missing_hole_04,2868,2316,Missing_hole,315,1484,380,1543
06_missing_hole_04,2868,2316,Missing_hole,1154,1472,1212,1529
06_missing_hole_04,2868,2316,Missing_hole,1350,1955,1401,2007
06_missing_hole_05,2868,2316,Missing_hole,1276,725,1345,788
06_missing_hole_05,2868,2316,Missing_hole,807,1156,863,1207
06_missing_hole_05,2868,2316,Missing_hole,1214,1154,1265,1210
06_missing_hole_05,2868,2316,Missing_hole,2212,1283,2273,1342
06_missing_hole_05,2868,2316,Missing_hole,1676,1815,1733,1878
06_missing_hole_06,2868,2316,Missing_hole,805,541,859,589
06_missing_hole_06,2868,2316,Missing_hole,2213,1374,2284,1439
06_missing_hole_06,2868,2316,Missing_hole,588,1292,638,1348
06_missing_hole_06,2868,2316,Missing_hole,1619,1321,1666,1383
06_missing_hole_06,2868,2316,Missing_hole,237,897,310,961
06_missing_hole_06,2868,2316,Missing_hole,1066,1939,1131,2004
06_missing_hole_07,2868,2316,Missing_hole,1276,725,1342,781
06_missing_hole_07,2868,2316,Missing_hole,1158,1814,1217,1876
06_missing_hole_07,2868,2316,Missing_hole,2205,1285,2276,1342
06_missing_hole_07,2868,2316,Missing_hole,1154,1153,1210,1211
06_missing_hole_07,2868,2316,Missing_hole,1603,1148,1673,1216
06_missing_hole_08,2868,2316,Missing_hole,1441,1149,1497,1205
06_missing_hole_08,2868,2316,Missing_hole,1092,1149,1159,1211
06_missing_hole_08,2868,2316,Missing_hole,1009,849,1073,914
06_missing_hole_08,2868,2316,Missing_hole,856,196,912,252
06_missing_hole_08,2868,2316,Missing_hole,242,1163,314,1221
06_missing_hole_09,2868,2316,Missing_hole,1159,722,1231,783
06_missing_hole_09,2868,2316,Missing_hole,1734,614,1803,677
06_missing_hole_09,2868,2316,Missing_hole,1093,1149,1149,1202
06_missing_hole_09,2868,2316,Missing_hole,1665,1319,1732,1380
06_missing_hole_09,2868,2316,Missing_hole,2212,1500,2276,1561
06_missing_hole_10,2868,2316,Missing_hole,1279,723,1342,790
06_missing_hole_10,2868,2316,Missing_hole,840,682,904,741
06_missing_hole_10,2868,2316,Missing_hole,1092,977,1156,1043
06_missing_hole_10,2868,2316,Missing_hole,1043,1470,1098,1532
06_missing_hole_10,2868,2316,Missing_hole,2183,2045,2239,2102
07_missing_hole_01,2904,1921,Missing_hole,1244,726,1317,806
07_missing_hole_01,2904,1921,Missing_hole,1691,1034,1762,1113
07_missing_hole_01,2904,1921,Missing_hole,2169,1028,2260,1126
07_missing_hole_01,2904,1921,Missing_hole,2441,777,2537,855
07_missing_hole_01,2904,1921,Missing_hole,570,300,649,385
07_missing_hole_02,2904,1921,Missing_hole,1117,200,1191,265
07_missing_hole_02,2904,1921,Missing_hole,1702,337,1784,405
07_missing_hole_02,2904,1921,Missing_hole,1202,1032,1270,1119
07_missing_hole_02,2904,1921,Missing_hole,283,1070,402,1184
07_missing_hole_02,2904,1921,Missing_hole,1548,1446,1616,1548
07_missing_hole_03,2904,1921,Missing_hole,1686,517,1769,602
07_missing_hole_03,2904,1921,Missing_hole,1855,287,1939,356
07_missing_hole_03,2904,1921,Missing_hole,1089,754,1167,828
07_missing_hole_03,2904,1921,Missing_hole,846,1027,927,1117
07_missing_hole_03,2904,1921,Missing_hole,2106,1028,2180,1126
07_missing_hole_04,2904,1921,Missing_hole,2031,509,2110,600
07_missing_hole_04,2904,1921,Missing_hole,2679,351,2755,438
07_missing_hole_04,2904,1921,Missing_hole,2666,770,2757,862
07_missing_hole_04,2904,1921,Missing_hole,1539,1034,1629,1124
07_missing_hole_04,2904,1921,Missing_hole,919,1023,998,1118
07_missing_hole_05,2904,1921,Missing_hole,1305,513,1387,600
07_missing_hole_05,2904,1921,Missing_hole,874,758,952,831
07_missing_hole_05,2904,1921,Missing_hole,1240,722,1311,807
07_missing_hole_05,2904,1921,Missing_hole,565,299,653,390
07_missing_hole_05,2904,1921,Missing_hole,431,551,510,639
07_missing_hole_06,2904,1921,Missing_hole,950,294,1018,363
07_missing_hole_06,2904,1921,Missing_hole,1231,507,1316,598
07_missing_hole_06,2904,1921,Missing_hole,1696,329,1790,417
07_missing_hole_06,2904,1921,Missing_hole,1332,1026,1411,1126
07_missing_hole_06,2904,1921,Missing_hole,1536,1441,1629,1546
07_missing_hole_07,2904,1921,Missing_hole,423,300,517,389
07_missing_hole_07,2904,1921,Missing_hole,563,688,655,777
07_missing_hole_07,2904,1921,Missing_hole,136,1153,272,1269
07_missing_hole_07,2904,1921,Missing_hole,2110,726,2187,813
07_missing_hole_07,2904,1921,Missing_hole,1850,358,1938,455
07_missing_hole_08,2904,1921,Missing_hole,1237,717,1320,808
07_missing_hole_08,2904,1921,Missing_hole,949,757,1022,828
07_missing_hole_08,2904,1921,Missing_hole,1338,1031,1417,1117
07_missing_hole_08,2904,1921,Missing_hole,2033,515,2112,601
07_missing_hole_08,2904,1921,Missing_hole,2451,357,2527,439
07_missing_hole_09,2904,1921,Missing_hole,1642,434,1727,508
07_missing_hole_09,2904,1921,Missing_hole,850,1023,926,1111
07_missing_hole_09,2904,1921,Missing_hole,1130,1028,1205,1116
07_missing_hole_09,2904,1921,Missing_hole,2172,1445,2255,1543
07_missing_hole_09,2904,1921,Missing_hole,1402,1445,1485,1535
07_missing_hole_10,2904,1921,Missing_hole,2047,290,2133,374
07_missing_hole_10,2904,1921,Missing_hole,2045,735,2112,790
07_missing_hole_10,2904,1921,Missing_hole,1376,519,1455,594
07_missing_hole_10,2904,1921,Missing_hole,737,553,844,641
07_missing_hole_10,2904,1921,Missing_hole,422,543,513,637
08_missing_hole_01,2759,2154,Missing_hole,2325,1193,2378,1252
08_missing_hole_01,2759,2154,Missing_hole,1995,1602,2060,1669
08_missing_hole_01,2759,2154,Missing_hole,1169,1734,1233,1805
08_missing_hole_01,2759,2154,Missing_hole,1245,745,1309,807
08_missing_hole_01,2759,2154,Missing_hole,545,1441,609,1510
08_missing_hole_02,2759,2154,Missing_hole,2133,943,2197,1007
08_missing_hole_02,2759,2154,Missing_hole,2318,1327,2378,1391
08_missing_hole_02,2759,2154,Missing_hole,963,746,1027,805
08_missing_hole_02,2759,2154,Missing_hole,1822,1560,1891,1631
08_missing_hole_02,2759,2154,Missing_hole,1035,1440,1100,1514
08_missing_hole_03,2759,2154,Missing_hole,2458,1155,2522,1222
08_missing_hole_03,2759,2154,Missing_hole,819,1437,894,1524
08_missing_hole_03,2759,2154,Missing_hole,681,1731,748,1797
08_missing_hole_03,2759,2154,Missing_hole,1380,1738,1449,1798
08_missing_hole_03,2759,2154,Missing_hole,1381,1443,1439,1510
08_missing_hole_04,2759,2154,Missing_hole,1037,1035,1099,1087
08_missing_hole_04,2759,2154,Missing_hole,1730,1039,1796,1098
08_missing_hole_04,2759,2154,Missing_hole,377,467,440,530
08_missing_hole_04,2759,2154,Missing_hole,155,977,212,1039
08_missing_hole_05,2759,2154,Missing_hole,1176,1444,1240,1516
08_missing_hole_05,2759,2154,Missing_hole,966,740,1037,812
08_missing_hole_05,2759,2154,Missing_hole,158,981,214,1030
08_missing_hole_05,2759,2154,Missing_hole,2001,404,2063,461
08_missing_hole_05,2759,2154,Missing_hole,237,633,304,691
08_missing_hole_06,2759,2154,Missing_hole,1387,1030,1447,1097
08_missing_hole_06,2759,2154,Missing_hole,2003,1607,2061,1665
08_missing_hole_06,2759,2154,Missing_hole,1100,1450,1169,1512
08_missing_hole_06,2759,2154,Missing_hole,1878,750,1937,809
08_missing_hole_06,2759,2154,Missing_hole,1727,2000,1791,2067
08_missing_hole_07,2759,2154,Missing_hole,1875,1035,1940,1097
08_missing_hole_07,2759,2154,Missing_hole,2128,941,2199,1020
08_missing_hole_07,2759,2154,Missing_hole,367,1931,437,2002
08_missing_hole_07,2759,2154,Missing_hole,144,1118,219,1186
08_missing_hole_07,2759,2154,Missing_hole,545,739,614,811
08_missing_hole_08,2759,2154,Missing_hole,1303,1443,1380,1518
08_missing_hole_08,2759,2154,Missing_hole,2312,1051,2383,1116
08_missing_hole_08,2759,2154,Missing_hole,2609,1219,2668,1274
08_missing_hole_08,2759,2154,Missing_hole,2122,1425,2191,1496
08_missing_hole_08,2759,2154,Missing_hole,616,744,680,805
08_missing_hole_09,2759,2154,Missing_hole,965,746,1029,805
08_missing_hole_09,2759,2154,Missing_hole,822,1033,888,1097
08_missing_hole_09,2759,2154,Missing_hole,1657,1449,1724,1520
08_missing_hole_09,2759,2154,Missing_hole,1996,1605,2060,1664
08_missing_hole_09,2759,2154,Missing_hole,1719,544,1786,604
08_missing_hole_10,2759,2154,Missing_hole,1875,1036,1937,1092
08_missing_hole_10,2759,2154,Missing_hole,821,1443,885,1512
08_missing_hole_10,2759,2154,Missing_hole,237,633,304,687
08_missing_hole_10,2759,2154,Missing_hole,2290,1639,2344,1702
08_missing_hole_10,2759,2154,Missing_hole,1948,1381,1988,1422
09_missing_hole_01,2775,2159,Missing_hole,2025,498,2086,564
09_missing_hole_01,2775,2159,Missing_hole,2335,986,2398,1042
09_missing_hole_01,2775,2159,Missing_hole,2231,1877,2307,1944
09_missing_hole_01,2775,2159,Missing_hole,1186,1700,1239,1753
09_missing_hole_01,2775,2159,Missing_hole,1122,1059,1186,1121
09_missing_hole_02,2775,2159,Missing_hole,777,639,836,703
09_missing_hole_02,2775,2159,Missing_hole,1194,642,1258,707
09_missing_hole_02,2775,2159,Missing_hole,386,1445,452,1507
09_missing_hole_02,2775,2159,Missing_hole,2466,1550,2535,1622
09_missing_hole_02,2775,2159,Missing_hole,911,352,980,413
09_missing_hole_03,2775,2159,Missing_hole,1542,357,1611,421
09_missing_hole_03,2775,2159,Missing_hole,1896,645,1960,719
09_missing_hole_03,2775,2159,Missing_hole,563,1057,629,1118
09_missing_hole_03,2775,2159,Missing_hole,199,637,276,704
09_missing_hole_03,2775,2159,Missing_hole,1833,96,1900,157
09_missing_hole_04,2775,2159,Missing_hole,1119,356,1194,413
09_missing_hole_04,2775,2159,Missing_hole,567,1057,625,1118
09_missing_hole_04,2775,2159,Missing_hole,844,1340,903,1408
09_missing_hole_04,2775,2159,Missing_hole,2148,1153,2212,1222
09_missing_hole_04,2775,2159,Missing_hole,2151,673,2215,739
09_missing_hole_04,2775,2159,Missing_hole,1328,1059,1395,1125
09_missing_hole_05,2775,2159,Missing_hole,1263,645,1324,696
09_missing_hole_05,2775,2159,Missing_hole,201,710,265,767
09_missing_hole_05,2775,2159,Missing_hole,2624,753,2688,817
09_missing_hole_05,2775,2159,Missing_hole,2024,504,2078,555
09_missing_hole_05,2775,2159,Missing_hole,1732,1555,1790,1612
09_missing_hole_06,2775,2159,Missing_hole,1412,648,1462,698
09_missing_hole_06,2775,2159,Missing_hole,1712,540,1772,599
09_missing_hole_06,2775,2159,Missing_hole,2334,770,2412,837
09_missing_hole_06,2775,2159,Missing_hole,1182,1544,1243,1604
09_missing_hole_06,2775,2159,Missing_hole,561,1059,631,1120
09_missing_hole_06,2775,2159,Missing_hole,256,1448,314,1505
09_missing_hole_07,2775,2159,Missing_hole,199,572,266,627
09_missing_hole_07,2775,2159,Missing_hole,1473,1059,1530,1121
09_missing_hole_07,2775,2159,Missing_hole,2472,881,2543,941
09_missing_hole_07,2775,2159,Missing_hole,1609,642,1676,712
09_missing_hole_07,2775,2159,Missing_hole,846,1343,901,1400
09_missing_hole_07,2775,2159,Missing_hole,2187,100,2245,163
09_missing_hole_08,2775,2159,Missing_hole,638,352,699,409
09_missing_hole_08,2775,2159,Missing_hole,176,1107,233,1165
09_missing_hole_08,2775,2159,Missing_hole,1265,1062,1322,1121
09_missing_hole_08,2775,2159,Missing_hole,256,1448,308,1510
09_missing_hole_08,2775,2159,Missing_hole,2481,675,2540,730
09_missing_hole_09,2775,2159,Missing_hole,2630,966,2686,1024
09_missing_hole_09,2775,2159,Missing_hole,2466,1553,2528,1611
09_missing_hole_09,2775,2159,Missing_hole,1535,1350,1610,1410
09_missing_hole_09,2775,2159,Missing_hole,772,1054,835,1116
09_missing_hole_09,2775,2159,Missing_hole,1197,642,1255,702
09_missing_hole_10,2775,2159,Missing_hole,1193,643,1255,707
09_missing_hole_10,2775,2159,Missing_hole,1544,356,1613,425
09_missing_hole_10,2775,2159,Missing_hole,1332,1061,1393,1124
09_missing_hole_10,2775,2159,Missing_hole,2007,1551,2071,1615
09_missing_hole_10,2775,2159,Missing_hole,566,635,627,704
10_missing_hole_01,2240,2016,Missing_hole,1345,676,1478,788
10_missing_hole_01,2240,2016,Missing_hole,1906,489,1981,571
10_missing_hole_01,2240,2016,Missing_hole,1963,651,2053,726
10_missing_hole_01,2240,2016,Missing_hole,1794,1144,1891,1234
10_missing_hole_01,2240,2016,Missing_hole,1017,1270,1110,1350
10_missing_hole_02,2240,2016,Missing_hole,945,691,1052,779
10_missing_hole_02,2240,2016,Missing_hole,588,783,717,892
10_missing_hole_02,2240,2016,Missing_hole,908,1085,1003,1164
10_missing_hole_02,2240,2016,Missing_hole,1419,1112,1491,1173
10_missing_hole_02,2240,2016,Missing_hole,2013,1350,2084,1431
10_missing_hole_03,2240,2016,Missing_hole,1300,335,1363,399
10_missing_hole_03,2240,2016,Missing_hole,1521,786,1591,853
10_missing_hole_03,2240,2016,Missing_hole,1419,1111,1487,1178
10_missing_hole_03,2240,2016,Missing_hole,1062,1428,1158,1516
10_missing_hole_03,2240,2016,Missing_hole,1340,1481,1408,1550
10_missing_hole_04,2240,2016,Missing_hole,719,971,843,1105
10_missing_hole_04,2240,2016,Missing_hole,1340,1480,1407,1546
10_missing_hole_04,2240,2016,Missing_hole,1659,1163,1743,1257
10_missing_hole_04,2240,2016,Missing_hole,2013,944,2088,1020
10_missing_hole_04,2240,2016,Missing_hole,1910,1567,1987,1635
10_missing_hole_05,2240,2016,Missing_hole,1062,507,1153,591
10_missing_hole_05,2240,2016,Missing_hole,1632,258,1727,348
10_missing_hole_05,2240,2016,Missing_hole,940,691,1061,782
10_missing_hole_05,2240,2016,Missing_hole,1330,1637,1414,1714
10_missing_hole_05,2240,2016,Missing_hole,109,1795,222,1913
11_missing_hole_01,2282,2248,Missing_hole,756,438,828,525
11_missing_hole_01,2282,2248,Missing_hole,1227,595,1306,673
11_missing_hole_01,2282,2248,Missing_hole,1424,773,1511,862
11_missing_hole_01,2282,2248,Missing_hole,1436,1266,1506,1359
11_missing_hole_01,2282,2248,Missing_hole,1195,1747,1275,1831
11_missing_hole_02,2282,2248,Missing_hole,1157,222,1255,313
11_missing_hole_02,2282,2248,Missing_hole,1025,959,1096,1054
11_missing_hole_02,2282,2248,Missing_hole,1434,1259,1506,1362
11_missing_hole_02,2282,2248,Missing_hole,511,1265,585,1356
11_missing_hole_02,2282,2248,Missing_hole,1593,1861,1668,1958
11_missing_hole_03,2282,2248,Missing_hole,1419,447,1516,538
11_missing_hole_03,2282,2248,Missing_hole,952,747,1045,829
11_missing_hole_03,2282,2248,Missing_hole,293,740,388,824
11_missing_hole_03,2282,2248,Missing_hole,717,970,778,1044
11_missing_hole_03,2282,2248,Missing_hole,619,1441,681,1525
11_missing_hole_04,2282,2248,Missing_hole,410,747,476,812
11_missing_hole_04,2282,2248,Missing_hole,1553,682,1639,757
11_missing_hole_04,2282,2248,Missing_hole,1420,1466,1501,1552
11_missing_hole_04,2282,2248,Missing_hole,863,1747,935,1839
11_missing_hole_04,2282,2248,Missing_hole,115,1775,254,1915
11_missing_hole_05,2282,2248,Missing_hole,1755,1749,1834,1841
